record_id,customer_id,site,event_time,metric_type,value,unit
1,C1000,paris,2026-01-01T08:00:00,tickets,3,count
2,C1001,lyon,2026-01-01T08:10:00,tickets,8,count
3,C1002,paris,2026-01-01T08:20:00,sales,714.9,eur
4,C1003,toulouse,2026-01-01T08:30:00,tickets,23,count
5,C1004,paris,2026-01-01T08:40:00,sales,2960.65,eur
6,C1005,lyon,2026-01-01T08:50:00,sales,486.6,eur
7,C1006,paris,2026-01-01T09:00:00,tickets,19,count
8,C1007,toulouse,2026-01-01T09:10:00,tickets,6,count
9,C1008,lille,2026-01-01T09:20:00,returns,7,count
10,C1009,paris,2026-01-01T09:30:00,tickets,8,count
11,C1010,grenoble,2026-01-01T09:40:00,sales,3496.73,eur
12,C1011,lyon,2026-01-01T09:50:00,returns,4,count
13,C1012,paris,2026-01-01T10:00:00,returns,3,count
14,C1013,grenoble,2026-01-01T10:10:00,returns,3,count
15,C1014,grenoble,2026-01-01T10:20:00,returns,19,count
16,C1015,toulouse,2026-01-01T10:30:00,sales,3654.06,eur
17,C1016,lille,2026-01-01T10:40:00,sales,4866.12,eur
18,C1017,toulouse,2026-01-01T10:50:00,sales,2769.16,eur
19,C1018,lyon,2026-01-01T11:00:00,returns,18,count
20,C1019,paris,2026-01-01T11:10:00,tickets,2,count
21,C1020,grenoble,2026-01-01T11:20:00,tickets,7,count
22,C1021,paris,2026-01-01T11:30:00,sales,4279.48,eur
23,C1022,lille,2026-01-01T11:40:00,returns,8,count
24,C1023,grenoble,2026-01-01T11:50:00,tickets,26,count
25,C1024,lyon,2026-01-01T12:00:00,sales,1863.5,eur
26,C1025,paris,2026-01-01T12:10:00,tickets,8,count
27,C1026,lyon,2026-01-01T12:20:00,tickets,20,count
28,C1027,lyon,2026-01-01T12:30:00,tickets,23,count
29,C1028,grenoble,2026-01-01T12:40:00,sales,2322.06,eur
30,C1029,toulouse,2026-01-01T12:50:00,tickets,22,count
31,C1030,paris,2026-01-01T13:00:00,sales,3429.38,eur
32,C1031,grenoble,2026-01-01T13:10:00,sales,4112.58,eur
33,C1032,paris,2026-01-01T13:20:00,returns,8,count
34,C1033,toulouse,2026-01-01T13:30:00,sales,4567.42,eur
35,C1034,lyon,2026-01-01T13:40:00,tickets,10,count
36,C1035,lille,2026-01-01T13:50:00,tickets,15,count
37,C1036,lyon,2026-01-01T14:00:00,tickets,14,count
38,C1037,lyon,2026-01-01T14:10:00,returns,4,count
39,C1038,toulouse,2026-01-01T14:20:00,tickets,17,count
40,C1039,toulouse,2026-01-01T14:30:00,returns,23,count
41,C1040,toulouse,2026-01-01T14:40:00,returns,28,count
42,C1041,lyon,2026-01-01T14:50:00,returns,11,count
43,C1042,paris,2026-01-01T15:00:00,sales,2557.44,eur
44,C1043,lyon,2026-01-01T15:10:00,sales,4308.29,eur
45,C1044,lille,2026-01-01T15:20:00,tickets,5,count
46,C1045,lille,2026-01-01T15:30:00,tickets,2,count
47,C1046,lille,2026-01-01T15:40:00,returns,19,count
48,C1047,toulouse,2026-01-01T15:50:00,tickets,8,count
49,C1048,paris,2026-01-01T16:00:00,sales,3407.81,eur
50,C1049,toulouse,2026-01-01T16:10:00,tickets,28,count
51,C1050,grenoble,2026-01-01T16:20:00,returns,24,count
52,C1051,lyon,2026-01-01T16:30:00,sales,1481.63,eur
53,C1052,grenoble,2026-01-01T16:40:00,returns,0,count
54,C1053,lyon,2026-01-01T16:50:00,tickets,24,count
55,C1054,paris,2026-01-01T17:00:00,tickets,29,count
56,C1055,toulouse,2026-01-01T17:10:00,tickets,9,count
57,C1056,lyon,2026-01-01T17:20:00,tickets,6,count
58,C1057,lyon,2026-01-01T17:30:00,returns,24,count
59,C1058,toulouse,2026-01-01T17:40:00,tickets,30,count
60,C1059,lille,2026-01-01T17:50:00,sales,3002.74,eur
